lng,lat,maydoni,narxi
69.270273,41.339878,75.0,78000.0
69.2703772,41.3311054,58.0,57000.0
69.2704038,41.3041021,70.2,77000.0
69.2704923,41.2854294,137.5,172500.0
69.2708313,41.3131267,98.33333333333333,94666.66666666667
69.2708495,41.294871,74.55,32375.0
69.2711001,41.2784172,92.83333333333333,99666.66666666667
69.2711332,41.3040665,125.0,290000.0
69.2711816,41.293424,130.0,80000.0
69.2712172,41.3013581,65.0,81500.0
69.2720649,41.3698253,60.0,40000.0
69.2724003,41.3224583,110.0,165000.0
69.2724037,41.2868928,65.0,48000.0
69.2724811,41.3671612,59.0,37000.0
69.2729002,41.2887143,50.0,60000.0
69.272947,41.3117686,65.0,64000.0
69.2729933,41.2890324,90.11111111111111,90777.77777777778
69.2730715,41.2983828,90.25,98833.33333333333
69.2731845,41.3053155,72.0,80000.0
69.2735043,41.3122819,60.0,42000.0
69.2739904,41.3270969,143.0,209750.0
69.2743143,41.2846588,90.44444444444444,81555.55555555556
69.2747161,41.3615759,68.75399999999999,47249.9
69.2750782,41.2897492,126.66666666666667,128333.33333333333
69.275364,41.295316,96.36111111111111,87545.81944444444
69.2757032,41.2908449,101.66666666666667,113000.0
69.275878,41.296644,84.67567567567568,89864.86486486487
69.2759999,41.3231488,72.33333333333333,44833.333333333336
69.2761613,41.2855152,78.8,82400.0
69.2765786,41.3766361,72.0,46875.0
69.2766433,41.3455167,50.0,32000.0
69.276825,41.2963881,107.6,143650.0
69.2769129,41.2910722,107.24090909090908,105521.12121212122
69.2769744,41.3181639,180.0,280000.0
69.2770895,41.3792157,46.0,30000.0
69.2771853,41.374408,67.009,43533.333333333336
69.2772063,41.3521537,83.5,57500.0
69.2773236,41.3197131,76.37058823529412,78204.6
69.2773236,41.3245206,84.39967032967033,83357.0989010989
69.2773236,41.3653679,71.21651162790698,52981.37209302326
69.2779052,41.294532,150.0,145000.0
69.2785087,41.2991561,102.0542372881356,120693.22033898305
